medium	description	compound	name
FT3	modified fermentation medium	glc__D	D-Glucose
FT3	modified fermentation medium	fru	D-Fructose
FT3	modified fermentation medium	arab__D	D-Arabinose
FT3	modified fermentation medium	rib__D	D-Ribose
FT3	modified fermentation medium	fuc__L	L-Fucose
FT3	modified fermentation medium	rmn	L-Rhamnose
FT3	modified fermentation medium	lcts	Lactose
FT3	modified fermentation medium	h2o	H2O
FT3	modified fermentation medium	pi	Phosphate
FT3	modified fermentation medium	nh4	NH3
FT3	modified fermentation medium	glu__L	L-Glutamate
FT3	modified fermentation medium	pheme	Heme
FT3	modified fermentation medium	mn2	Mn2+
FT3	modified fermentation medium	gly	Glycine
FT3	modified fermentation medium	zn2	Zn2+
FT3	modified fermentation medium	ala__L	L-Alanine
FT3	modified fermentation medium	lys__L	L-Lysine
FT3	modified fermentation medium	asp__L	L-Aspartate
FT3	modified fermentation medium	so4	Sulfate
FT3	modified fermentation medium	arg__L	L-Arginine
FT3	modified fermentation medium	ser__L	L-Serine
FT3	modified fermentation medium	cu2	Cu2+
FT3	modified fermentation medium	met__L	L-Methionine
FT3	modified fermentation medium	ca2	Ca2+
FT3	modified fermentation medium	trp__L	L-Tryptophan
FT3	modified fermentation medium	phe__L	L-Phenylalanine
FT3	modified fermentation medium	h	H+
FT3	modified fermentation medium	tyr__L	L-Tyrosine
FT3	modified fermentation medium	cys__L	L-Cysteine
FT3	modified fermentation medium	cl	Cl-
FT3	modified fermentation medium	leu__L	L-Leucine
FT3	modified fermentation medium	his__L	L-Histidine
FT3	modified fermentation medium	pro__L	L-Proline
FT3	modified fermentation medium	cobalt2	Co2+
FT3	modified fermentation medium	val__L	L-Valine
FT3	modified fermentation medium	thr__L	L-Threonine
FT3	modified fermentation medium	k	K+
FT3	modified fermentation medium	pydx	Pyridoxal
FT3	modified fermentation medium	nac	Niacin
FT3	modified fermentation medium	ribflv	Riboflavin
FT3	modified fermentation medium	h2s	H2S
FT3	modified fermentation medium	ins	Inosine
FT3	modified fermentation medium	uri	Uridine
FT3	modified fermentation medium	mg2	Mg
FT3	modified fermentation medium	ile__L	L-Isoleucine
FT3	modified fermentation medium	fol	Folate
FT3	modified fermentation medium	hg2	Hg2+
FT3	modified fermentation medium	lipoate	Lipoate
FT3	modified fermentation medium	pnto__R	PAN
FT3	modified fermentation medium	na1	Na+
FT3	modified fermentation medium	cd2	Cd2+
FT3	modified fermentation medium	aso4	Arsenate
FT3	modified fermentation medium	adpcbl	Vitamin B12
FT3	modified fermentation medium	fe2	Fe2+
FT3	modified fermentation medium	fe3	fe3
FT3	modified fermentation medium	cro4	chromate
FT3	modified fermentation medium	mobd	Molybdate
FT3	modified fermentation medium	sheme	Siroheme
FT3	modified fermentation medium	co2	CO2
FT3	modified fermentation medium	h2	H2
FT3	modified fermentation medium	for	Formate
FT3	modified fermentation medium	etoh	ethanol
FT3	modified fermentation medium	lac__D	D-lactate
FT3	modified fermentation medium	but	butyrate
FT3	modified fermentation medium	lac__L	L-lactate
FT3	modified fermentation medium	ppa	propionate
FT3	modified fermentation medium	ac	acetate
FT3	modified fermentation medium	ch4	ch4
FT3	modified fermentation medium	succ	Succinate
FT3	modified fermentation medium	ni2	Nickel
