medium	description	compound	name	vmh.id	modelseed	maxFlux
TSB	Tryptic soy broth	h2o	H2O	h2o	cpd00001	100
TSB	Tryptic soy broth	o2	O2	o2	cpd00007	100
TSB	Tryptic soy broth	co2	CO2	co2	cpd00011	100
TSB	Tryptic soy broth	glc__D	D-Glucose	glc_D	cpd00027	13.88
TSB	Tryptic soy broth	sucr	Sucrose	sucr	cpd00076	0.4382120947
TSB	Tryptic soy broth	stys	Stachyose	stys	cpd01133	0.1800239432
TSB	Tryptic soy broth	raffin	Melitose	raffin	cpd00382	0.0594721254
TSB	Tryptic soy broth	starch	Starch	starch	cpd11657	0.1850246021
TSB	Tryptic soy broth	mannan	mannan	mannan	cpd11746	1.4801968168
TSB	Tryptic soy broth	pectin	Pectin	pectin	cpd11601	3.3996260411
TSB	Tryptic soy broth	ala__L	L-Alanine	ala_L	cpd00035	5.9870931538
TSB	Tryptic soy broth	arg__L	L-Arginine	arg_L	cpd00051	3.861021814
TSB	Tryptic soy broth	asp__L	L-Aspartate	asp_L	cpd00041	9.1987978963
TSB	Tryptic soy broth	cys__L	L-Cysteine	cys_L	cpd00084	0.5829207921
TSB	Tryptic soy broth	glu__L	L-Glutamate	glu_L	cpd00023	25.2972127804
TSB	Tryptic soy broth	gly	Glycine	gly	cpd00033	4.3728362184
TSB	Tryptic soy broth	his__L	L-Histidine	his_L	cpd00119	3.0599871134
TSB	Tryptic soy broth	ile__L	L-Isoleucine	ile_L	cpd00322	7.1884908537
TSB	Tryptic soy broth	leu__L	L-Leucine	leu_L	cpd00107	11.3816310976
TSB	Tryptic soy broth	lys__L	L-Lysine	lys_L	cpd00039	8.9273597811
TSB	Tryptic soy broth	met__L	L-Methionine	met_L	cpd00060	2.8445710456
TSB	Tryptic soy broth	phe__L	L-Phenylalanine	phe_L	cpd00066	5.0161016949
TSB	Tryptic soy broth	pro__L	L-Proline	pro_L	cpd00129	14.6513466551
TSB	Tryptic soy broth	ser__L	L-Serine	ser_L	cpd00054	8.7603235014
TSB	Tryptic soy broth	thr__L	L-Threonine	thr_L	cpd00161	6.0115869018
TSB	Tryptic soy broth	trp__L	L-Tryptophan	trp_L	cpd00065	1.0025954946
TSB	Tryptic soy broth	tyr__L	L-Tyrosine	tyr_L	cpd00069	4.6642935982
TSB	Tryptic soy broth	val__L	L-Valine	val_L	cpd00156	9.2303159693
TSB	Tryptic soy broth	ca2	Ca2+	ca2	cpd00063	0.2921802485
