gene,gene2,ess.curated.model,ess.experimental
BG10783,asd,yes,yes
BG10785,dapA,yes,yes
BG10944,glyA,yes,no
BG10948,glmS,yes,yes
BG10950,alr,yes,yes
BG11207,dapB,yes,yes
BG13301,ykuQ,yes,yes
BG13302,ykuR,yes,yes
BG14048,dapF,yes,yes
BG11964,racE,no,yes
BG11840,metK,no,yes
BG10091,yaaO,no,no
BG10136,cysK,no,no
BG10155,cysE,no,no
BG10195,carA,no,no
BG10196,carB,no,no
BG10212,speA,no,no
BG10284,aroF,no,yes
BG10285,aroB,no,no
BG10286,aroH,no,no
BG10287,trpE,no,no
BG10288,trpD,no,no
BG10289,trpF,no,no
BG10290,trpB,no,no
BG10291,trpA,no,no
BG10292,hisC,no,no
BG10293,tyrA,no,no
BG10294,aroE,no,yes
BG10300,ansA,no,no
BG10301,ansB,no,no
BG10340,hemA,no,no
BG10350,lysC,no,no
BG10375,aroA,no,no
BG10425,glnA,no,no
BG10457,aroK,no,yes
BG10460,hom,no,no
BG10461,thrC,no,no
BG10468,ald,no,no
BG10471,alsS,no,no
BG10509,serA,no,no
BG10538,aroC,no,no
BG10546,ywaA,no,no
BG10621,rocG,no,no
BG10629,ywfE,no,no
BG10667,hutH,no,no
BG10668,hutU,no,no
BG10670,ilvB,no,no
BG10672,ilvC,no,no
BG10673,ilvA,no,no
BG10675,leuB,no,no
BG10715,pyrAA,no,no
BG10716,pyrAB,no,no
BG10722,rocD,no,no
BG10736,rsbX,no,no
BG10784,dapG,no,yes
BG10811,gltA,no,no
BG10841,proG,no,no
BG10842,dppA,no,no
BG10932,rocF,no,no
BG10963,proB,no,no
BG10964,proA,no,no
BG11038,trpC,no,no
BG11049,proH,no,no
BG11096,nasD,no,no
BG11097,nasE,no,no
BG11099,hutG,no,no
BG11100,hutI,no,no
BG11116,asnH,no,no
BG11117,mmsA,no,no
BG11435,gudB,no,no
BG11522,aroD,no,no
BG11532,ilvD,no,no
BG11627,msrA,no,no
BG11628,yppQ,no,no
BG11723,bcd,no,no
BG11744,proI,no,no
BG11747,dsdA,no,no
BG11831,asnB,no,no
BG11838,ggt,no,no
BG11930,cysH,no,no
BG11948,leuA,no,no
BG11949,leuC,no,no
BG11950,leuD,no,no
BG11981,ureA,no,no
BG11982,ureB,no,no
BG11983,ureC,no,no
BG12011,ycgM,no,no
BG12033,yclM,no,no
BG12043,gabT,no,no
BG12044,gabD,no,no
BG12240,asnO,no,no
BG12290,yrhA,no,no
BG12291,yrhB,no,no
BG12306,yrpC,no,no
BG12362,alaT,no,no
BG12460,speE,no,no
BG12461,speB,no,no
BG12597,hisA,no,no
BG12601,hisG,no,no
BG12602,hisH,no,no
BG12610,kbl,no,no
BG12658,proJ,no,no
BG12673,serC,no,no
BG12685,tdh,no,no
BG12749,ybgE,no,no
BG12753,ybgJ,no,no
BG12914,yfjR,no,no
BG13147,goxB,no,no
BG13162,yjcI,no,no
BG13163,yjcJ,no,no
BG13278,ykrS,no,no
BG13279,ykrT,no,no
BG13281,ykrV,no,no
BG13282,ykrW,no,no
BG13283,ykrX,no,no
BG13284,ykrY,no,no
BG13285,ykrZ,no,no
BG13350,ylaM,no,no
BG13371,ylmB,no,no
BG13379,cysC,no,no
BG13397,sdaAB,no,no
BG13398,sdaAA,no,no
BG13542,kamA,no,no
BG13800,mtn,no,no
BG13832,speD,no,no
BG10906,bltD,no,no
BG11933,def,no,no
BG13931,hisJ,no,no
BG10191,argC,NA,no
BG10192,argJ,NA,no
BG10193,argB,NA,no
BG10194,argD,NA,no
BG10197,argF,NA,no
BG10205,patA,NA,yes
BG10462,thrB,NA,no
BG10510,lysA,NA,no
BG10622,rocA,NA,no
BG10671,ilvH,NA,no
BG10913,pheB,NA,no
BG10914,pheA,NA,no
BG11513,aspB,NA,no
BG11534,metA,NA,no
BG12569,yodQ,NA,no
BG12570,argG,NA,no
BG12571,argH,NA,no
BG12594,gltB,NA,no
BG12598,hisB,NA,no
BG12599,hisD,NA,no
BG12600,hisF,NA,no
BG12603,hisI,NA,no
BG12616,metE,NA,no
BG12627,mtbP,NA,no
BG10109,ispE,yes,yes
BG10403,yvyH,yes,no
BG11366,gpsA,yes,no
BG11715,dxs,yes,yes
BG12704,ybbT,yes,no
BG13409,dxr,yes,no
BG10207,pdhA,no,no
BG10273,odhB,no,no
BG10412,fbaA,no,no
BG10897,tpiA,no,no
BG11062,pgk,no,no
BG11247,tkt,no,no
BG12644,pfkA,no,no
BG13328,ykwC,no,no
BG10043,maa,no,no
BG10177,gutB,no,no
BG10187,glpK,no,no
BG10188,glpD,no,no
BG10189,yhxB,no,no
BG10208,pdhB,no,no
BG10209,pdhC,no,no
BG10210,pdhD,no,no
BG10272,odhA,no,no
BG10351,sdhC,no,no
BG10352,sdhA,no,no
BG10353,sdhB,no,no
BG10367,acuC,no,no
BG10368,acuB,no,no
BG10369,acuA,no,no
BG10370,acsA,no,no
BG10384,citG,no,no
BG10413,ywjH,no,no
BG10454,pmi,no,no
BG10472,alsD,no,no
BG10473,amyE,no,no
BG10478,citB,no,no
BG10545,gdh,no,no
BG10581,galK,no,no
BG10582,galT,no,no
BG10596,sacA,no,no
BG10634,pta,no,no
BG10649,gntK,no,no
BG10669,idh,no,no
BG10806,xylA,no,no
BG10807,xylB,no,no
BG10813,ackA,no,no
BG10827,gapA,no,yes
BG10854,citA,no,no
BG10855,citZ,no,no
BG10856,icd,no,no
BG10907,glgB,no,no
BG10908,glgC,no,no
BG10909,glgD,no,no
BG10910,glgA,no,no
BG10911,glgP,no,no
BG10926,pksG,no,no
BG10935,bglH,no,no
BG10942,ywlF,no,no
BG11010,treA,no,no
BG11103,yxaA,no,no
BG11109,yxaG,no,no
BG11118,iolB,no,no
BG11119,iolC,no,no
BG11120,iolD,no,no
BG11121,iolE,no,no
BG11125,fbaB,no,no
BG11153,scoA,no,no
BG11154,scoB,no,no
BG11158,ycbC,no,no
BG11161,ycbF,no,no
BG11163,ycbH,no,no
BG11198,phy,no,no
BG11203,bglA,no,no
BG11211,mgsA,no,no
BG11216,mtlD,no,no
BG11222,ycsA,no,no
BG11322,mmgD,no,no
BG11323,mmgE,no,no
BG11355,aldX,no,no
BG11363,iolS,no,no
BG11386,mdh,no,no
BG11396,kdgA,no,no
BG11397,kdgK,no,no
BG11400,kduD,no,no
BG11401,kduI,no,no
BG11478,fbp,no,no
BG11601,yhcW,no,no
BG11685,glcK,no,no
BG11720,yqiQ,no,no
BG11722,ptb,no,no
BG11724,buk,no,no
BG11733,yqjD,no,no
BG11738,yqjI,no,no
BG11739,zwf,no,no
BG11762,nudF,no,no
BG11818,yktC,no,no
BG11837,galE,no,no
BG11839,malA,no,no
BG11841,pckA,no,no
BG11900,abfA,no,no
BG11902,adhB,no,no
BG11903,aldY,no,no
BG11904,araA,no,no
BG11905,araB,no,no
BG11906,araD,no,no
BG12063,ydaP,no,no
BG12195,ydhR,no,no
BG12320,ysfC,no,no
BG12366,pgi,no,no
BG12385,yulC,no,no
BG12387,yulE,no,no
BG12420,yvdK,no,no
BG12421,malL,no,no
BG12422,pgcM,no,no
BG12439,lacA,no,no
BG12558,acoA,no,no
BG12559,acoB,no,no
BG12560,acoC,no,no
BG12561,acoL,no,no
BG12562,adhA,no,no
BG12582,dhaS,no,no
BG12588,fruK,no,no
BG12592,gapB,no,no
BG12615,melA,no,no
BG12630,nagA,no,no
BG12631,nagB,no,no
BG12657,pps,no,no
BG12660,pycA,no,no
BG12661,pyk,no,no
BG12746,gamA,no,no
BG12796,ydjE,no,no
BG12803,ydjL,no,no
BG13020,yhdN,no,no
BG13177,manA,no,no
BG13204,uxaC,no,no
BG13207,yjmD,no,no
BG13208,uxuA,no,no
BG13212,uxaB,no,no
BG13213,uxaA,no,no
BG13393,rpe,no,no
BG13456,yngE,no,no
BG13484,yoaN,no,no
BG13826,ytbE,no,no
BG13829,ytcB,no,no
BG13922,ytsJ,no,no
BG14096,yvgN,no,no
BG14148,oxdC,no,no
BG10898,pgm,NA,yes
BG10899,eno,NA,yes
BG10877,rbsK,NA,no
BG11350,licH,NA,no
BG11985,xsa,NA,no
BG12680,sucC,NA,no
BG12681,sucD,NA,no
BG10113,gcaD,yes,yes
BG10225,murD,yes,yes
BG10227,murG,yes,yes
BG10228,murB,yes,yes
BG10449,tagD,yes,yes
BG10450,tagA,yes,yes
BG10451,tagB,yes,yes
BG10725,tagF,yes,yes
BG10973,murC,yes,yes
BG11191,tagH,yes,yes
BG11205,tagG,yes,yes
BG11932,ddl,yes,yes
BG12084,murF,yes,yes
BG12684,tagO,yes,yes
BG11955,murAA,no,yes
BG10402,gtaB,yes,no
BG10548,dltD,yes,no
BG10549,dltC,yes,no
BG10550,dltB,yes,no
BG10551,dltA,yes,no
BG10724,tagE,yes,no
BG11192,ggaB,yes,no
BG11367,ggaA,yes,no
BG13951,yubB,yes,no
BG10407,lytC,no,no
BG10414,murAB,no,no
BG10455,lytD,no,no
