gene,gene2,ess.curated.model,ess.experimental
b0002,,no,yes
b0003,,yes,yes
b0004,,yes,yes
b0007,,no,no
b0008,,no,no
b0009,,yes,no
b0019,,no,no
b0025,,yes,yes
b0026,,no,yes
b0029,,yes,yes
b0030,,no,no
b0031,,yes,yes
b0032,,no,yes
b0033,,no,yes
b0036,,no,no
b0037,,no,no
b0038,,no,no
b0040,,no,no
b0047,,no,no
b0048,,no,yes
b0049,,no,no
b0052,,yes,no
b0066,,no,no
b0067,,no,no
b0068,,no,no
b0070,,no,no
b0071,,yes,yes
b0072,,yes,yes
b0073,,yes,yes
b0074,,yes,yes
b0077,,no,no
b0078,,no,no
b0084,,no,yes
b0085,,yes,yes
b0086,,yes,yes
b0087,,yes,yes
b0088,,yes,yes
b0090,,yes,yes
b0091,,yes,yes
b0092,,no,no
b0096,,yes,yes
b0099,,no,no
b0103,,yes,yes
b0104,,no,no
b0109,,yes,yes
b0110,,no,no
b0112,,no,no
b0114,,no,no
b0115,,no,no
b0116,,no,no
b0118,,no,no
b0120,,no,no
b0121,,no,no
b0123,,no,no
b0124,,no,no
b0125,,no,no
b0126,,no,yes
b0131,,yes,no
b0133,,yes,no
b0134,,yes,no
b0142,,yes,yes
b0149,,no,no
b0150,,no,no
b0151,,no,no
b0152,,no,no
b0153,,no,no
b0154,,yes,yes
b0155,,no,no
b0158,,no,no
b0159,,yes,no
b0160,,no,no
b0166,,yes,yes
b0171,,no,yes
b0173,,yes,yes
b0174,,yes,yes
b0175,,yes,yes
b0179,,yes,yes
b0180,,yes,yes
b0181,,yes,yes
b0182,,yes,yes
b0185,,yes,yes
b0186,,no,no
b0194,,no,yes
b0197,,no,no
b0198,,no,no
b0199,,no,no
b0200,,no,no
b0207,,no,no
b0212,,no,no
b0221,,no,no
b0222,,no,no
b0237,,no,no
b0238,,no,no
b0241,,no,no
b0242,,no,yes
b0243,,no,yes
b0260,,no,no
b0261,,no,no
b0273,,no,no
b0306,,no,no
b0307,,no,no
b0308,,no,no
b0311,,no,no
b0312,,no,no
b0314,,no,no
b0323,,no,no
b0331,,no,no
b0333,,no,no
b0334,,no,no
b0336,,no,no
b0337,,no,no
b0339,,no,no
b0340,,no,no
b0341,,no,no
b0343,,no,no
b0347,,no,no
b0348,,no,no
b0349,,no,no
b0350,,no,no
b0351,,no,no
b0352,,no,no
b0353,,no,no
b0355,,no,no
b0356,,no,no
b0365,,no,no
b0366,,no,no
b0367,,no,no
b0368,,no,no
b0369,,yes,yes
b0381,,no,no
b0383,,no,no
b0386,,yes,yes
b0388,,no,no
b0394,,no,no
b0401,,no,no
b0403,,no,no
b0404,,no,no
b0411,,no,no
b0414,,yes,yes
b0415,,yes,yes
b0417,,yes,yes
b0418,,no,no
b0420,,yes,yes
b0421,,yes,yes
b0423,,yes,no
b0425,,no,no
b0428,,no,no
b0429,,no,no
b0430,,no,no
b0431,,no,no
b0432,,no,no
b0433,,no,no
b0444,,no,no
b0446,,no,no
b0451,,no,no
b0452,,no,no
b0459,,no,no
b0462,,no,no
b0463,,no,no
b0469,,no,no
b0474,,no,yes
b0475,,yes,yes
b0477,,no,no
b0480,,no,no
b0484,,no,no
b0485,,no,no
b0494,,no,no
b0505,,no,no
b0507,,no,no
b0508,,no,no
b0509,,no,no
b0511,,no,no
b0512,,no,no
b0514,,no,no
b0516,,no,no
b0517,,no,no
b0521,,no,no
b0522,,yes,yes
b0523,,yes,yes
b0524,,yes,yes
b0526,,no,yes
b0529,,no,yes
b0572,,no,no
b0573,,no,no
b0574,,no,no
b0575,,no,no
b0576,,no,no
b0578,,no,no
b0583,,no,yes
b0584,,no,no
b0585,,no,no
b0586,,no,no
b0588,,no,no
b0589,,no,yes
b0590,,no,yes
b0591,,no,no
b0592,,no,yes
b0593,,no,no
b0594,,no,no
b0595,,no,no
b0596,,no,no
b0604,,no,no
b0612,,no,no
b0613,,no,no
b0614,,no,no
b0615,,no,no
b0616,,no,no
b0617,,no,no
b0622,,no,no
b0628,,no,no
b0630,,no,no
b0632,,no,no
b0635,,no,yes
b0638,,no,no
b0639,,yes,yes
b0642,,no,yes
b0650,,no,no
b0651,,no,no
b0652,,no,no
b0653,,no,no
b0654,,no,no
b0655,,no,no
b0657,,no,yes
b0662,,no,no
b0674,,no,no
b0677,,no,no
b0678,,no,no
b0679,,no,no
b0680,,no,yes
b0684,,no,yes
b0688,,no,no
b0692,,no,no
b0693,,no,no
b0696,,no,no
b0697,,no,no
b0698,,no,no
b0709,,no,no
b0720,,yes,yes
b0721,,no,no
b0722,,no,no
b0723,,no,no
b0724,,no,no
b0726,,no,no
b0727,,no,no
b0728,,no,no
b0729,,no,no
b0731,,no,no
b0732,,no,no
b0733,,no,yes
b0734,,no,no
b0736,,no,no
b0750,,yes,yes
b0751,,no,no
b0752,,no,no
b0754,,no,no
b0755,,no,no
b0756,,no,no
b0757,,no,no
b0758,,no,no
b0759,,no,no
b0763,,no,no
b0764,,no,no
b0765,,no,no
b0766,,no,no
b0767,,no,no
b0774,,yes,no
b0775,,yes,no
b0776,,yes,no
b0777,,yes,no
b0778,,yes,no
b0781,,yes,no
b0783,,yes,no
b0784,,yes,no
b0785,,yes,no
b0789,,no,no
b0805,,no,no
b0809,,no,no
b0810,,no,no
b0811,,no,no
b0813,,no,no
b0822,,no,no
b0825,,no,no
b0826,,yes,no
