gene,gene2,ess.curated.model,ess.experimental
MG001,dnaN,NA,yes
MG002,,NA,no
MG003,gyrB,NA,yes
MG004,gyrA,NA,yes
MG005,serS,yes,yes
MG006,tmk,yes,yes
MG007,,NA,yes
MG008,,NA,yes
MG009,,NA,no
MG010,,NA,no
MG011,,NA,no
MG012,,NA,no
MG013,folD,yes,yes
MG014,,NA,yes
MG015,,NA,yes
MG018,,NA,no
MG019,dnaJ,NA,yes
MG020,pip,NA,yes
MG021,metG,yes,yes
MG022,,NA,yes
MG023,fba,yes,yes
MG024,ychF,NA,no
MG025,,yes,yes
MG026,efp,yes,yes
MG027,nusB,NA,yes
MG028,,NA,yes
MG029,,NA,yes
MG030,upp,no,yes
MG031,polC,NA,yes
MG032,,NA,no
MG033,glpF,no,no
MG034,tdk,yes,yes
MG035,hisS,yes,yes
MG036,aspS,yes,yes
MG037,,yes,yes
MG038,glpK,no,yes
MG039,,NA,no
MG040,,NA,no
MG041,,yes,yes
MG042,,yes,yes
MG043,,yes,yes
MG044,,yes,yes
MG045,,NA,yes
MG046,,NA,yes
MG047,metK,yes,yes
MG048,ffh,NA,yes
MG049,deoD,yes,yes
MG050,deoC,no,yes
MG051,pdp,yes,no
MG052,,no,yes
MG053,,no,yes
MG054,,NA,yes
MG055,,NA,yes
MG055.1,rpmG-2,NA,yes
MG055.2,,NA,yes
MG056,,NA,no
MG057,,NA,yes
MG058,prs,yes,yes
MG059,smpB,NA,yes
MG060,,NA,yes
MG061,,NA,no
MG062,fruA,no,no
MG063,fruK,no,no
MG064,,NA,yes
MG065,,NA,yes
MG066,tkt,no,no
MG067,,NA,no
MG068,,NA,yes
MG069,ptsG,yes,yes
MG070,rpsB,yes,yes
MG071,,yes,yes
MG072,secA,NA,yes
MG073,uvrB,NA,yes
MG074,,NA,yes
MG075,,yes,yes
MG076,,NA,yes
MG077,,yes,yes
MG078,,yes,yes
MG079,oppD,yes,yes
MG080,oppF,yes,yes
MG081,rplK,yes,yes
MG082,rplA,yes,yes
MG083,pth,yes,yes
MG084,,NA,yes
MG085,hprK,NA,yes
MG086,,NA,yes
MG087,rpsL,yes,yes
MG088,rpsG,yes,yes
MG089,fusA,yes,yes
MG090,,yes,yes
MG091,,NA,yes
MG092,rpsR,yes,yes
MG093,,yes,yes
MG094,dnaB,NA,yes
MG095,,NA,yes
MG096,,NA,no
MG097,,NA,yes
MG098,,yes,yes
MG099,,yes,yes
MG100,gatB,yes,yes
MG101,,NA,yes
MG102,trxB,yes,yes
MG103,,NA,no
MG103.1,,NA,yes
MG104,,NA,yes
MG105,,NA,yes
MG106,def,yes,yes
MG107,gmk,no,yes
MG108,,NA,yes
MG109,,NA,yes
MG110,rsgA,NA,no
MG111,pgi,no,yes
MG112,rpe,no,no
MG113,asnS,yes,yes
MG114,,no,no
MG115,,NA,no
MG116,,NA,no
MG117,,NA,yes
MG118,galE,yes,yes
MG119,,yes,yes
MG120,,NA,yes
MG121,,NA,no
MG122,topA,NA,yes
MG123,,NA,yes
MG124,trx,no,yes
MG125,,NA,yes
MG126,trpS,yes,yes
MG127,,NA,yes
MG128,,yes,yes
MG129,,NA,yes
MG130,,NA,yes
MG131,,NA,no
MG132,,NA,yes
MG133,,NA,yes
MG134,,NA,no
MG135,,NA,yes
