gene,gene2,ess.curated.model,ess.experimental
PA0330,,yes,yes
PA0342,,yes,yes
PA0350,,yes,yes
PA0363,,yes,yes
PA0582,,yes,yes
PA0904,,yes,yes
PA1681,,yes,yes
PA1796,,yes,yes
PA2584,,yes,yes
PA2962,,yes,yes
PA2967,,yes,yes
PA2977,,yes,yes
PA2979,,yes,yes
PA2981,,yes,yes
PA3111,,yes,yes
PA3112,,yes,yes
PA3163,,yes,yes
PA3636,,yes,yes
PA3637,,yes,yes
PA3639,,yes,yes
PA3643,,yes,yes
PA3644,,yes,yes
PA3651,,yes,yes
PA3654,,yes,yes
PA3666,,yes,yes
PA3807,,yes,yes
PA4055,,yes,yes
PA4056,,yes,yes
PA4406,,yes,yes
PA4411,,yes,yes
PA4412,,yes,yes
PA4415,,yes,yes
PA4416,,yes,yes
PA4417,,yes,yes
PA4425,,yes,yes
PA4457,,yes,yes
PA4529,,yes,yes
PA4655,,yes,yes
PA4662,,yes,no
PA4666,,yes,yes
PA4748,,yes,yes
PA4750,,yes,yes
PA4759,,yes,yes
PA4847,,yes,yes
PA4848,,yes,yes
PA4957,,yes,yes
PA4988,,yes,yes
PA4996,,yes,yes
PA5010,,yes,yes
PA5034,,yes,yes
PA5039,,yes,yes
PA5163,,yes,yes
PA5243,,yes,yes
PA5259,,yes,yes
PA5260,,yes,yes
PA5320,,yes,yes
PA5549,,yes,yes
PA5552,,yes,yes
PA0008,,no,yes
PA0009,,no,yes
PA0432,,no,yes
PA0551,,no,yes
PA0555,,no,yes
PA0593,,no,yes
PA0607,,no,yes
PA0956,,no,yes
PA1010,,no,yes
PA1049,,no,no
PA1155,,no,yes
PA1156,,no,yes
PA1165,,no,yes
PA1375,,no,yes
PA1581,,no,yes
PA1582,,no,yes
PA1583,,no,yes
PA1584,,no,yes
PA1585,,no,yes
PA1586,,no,yes
PA1588,,no,yes
PA1610,,no,yes
PA1778,,no,no
PA1795,,no,yes
PA1999,,no,no
PA2000,,no,no
PA2007,,no,no
PA2011,,no,no
PA2013,,no,no
PA2014,,no,no
PA2081,,no,no
PA2329,,no,no
PA2341,,no,no
PA2344,,no,no
PA2382,,no,no
PA2612,,no,yes
PA2666,,no,no
PA2739,,no,yes
PA2740,,no,yes
PA2876,,no,yes
PA3117,,no,yes
PA3134,,no,yes
PA3141,,no,yes
PA3146,,no,yes
PA3147,,no,yes
PA3149,,no,yes
PA3152,,no,yes
PA3153,,no,yes
PA3155,,no,yes
PA3159,,no,yes
PA3171,,no,yes
PA3584,,no,no
PA3645,,no,yes
PA3652,,no,yes
PA3700,,no,yes
PA3770,,no,yes
PA3834,,no,yes
PA4043,,no,yes
PA4044,,no,yes
PA4047,,no,no
PA4051,,no,yes
PA4068,,no,yes
PA4216,,no,no
PA4333,,no,yes
PA4366,,no,yes
PA4429,,no,yes
PA4560,,no,yes
PA4602,,no,yes
PA4664,,no,yes
PA4669,,no,yes
PA4728,,no,yes
PA4867,,no,no
PA5063,,no,yes
PA5065,,no,yes
PA5067,,no,yes
PA5110,,no,yes
PA5119,,no,yes
PA5174,,no,yes
PA5321,,no,yes
PA5338,,no,yes
PA5358,,no,yes
PA5555,,no,yes
PA5556,,no,yes
PA5558,,no,yes
PA5559,,no,yes
PA0005,,yes,yes
PA0006,,yes,yes
PA0025,,yes,yes
PA0280,,yes,no
PA0281,,yes,no
PA0282,,yes,no
PA0283,,yes,no
PA0430,,yes,yes
PA0546,,yes,no
PA0548,,yes,yes
PA0654,,yes,no
PA0724,,yes,no
PA0761,,yes,no
PA0945,,yes,no
PA1004,,yes,yes
PA1013,,yes,yes
