locus,start,end
MG001,686,1828
MG002,1828,2760
MG003,2845,4797
MG004,4812,7322
MG005,7294,8547
MG006,8551,9183
MG007,9156,9917
MG008,9923,11251
MG009,11251,12039
MG010,12068,12724
MG011,13564,12701
MG012,14432,13569
MG013,15216,14395
MG014,15555,17426
MG015,17473,19242
MG018,19252,22347
MG019,22389,23558
MG020,23542,24468
MG021,24468,26006
MG022,26036,26473
MG023,26479,27345
MG024,27346,28449
MG025,28652,29548
MG026,29552,30124
MG027,30093,30548
MG028,30548,31153
MG029,31703,31143
MG030,32325,31705
MG031,36714,32359
MG032,36977,38977
MG033,39127,39903
MG034,40513,39872
MG035,40542,41786
MG036,41776,43428
MG037,43401,44753
MG038,46276,44750
MG039,47421,46267
MG040,47580,49355
MG041,49376,49642
MG042,49840,51519
MG043,51524,52381
MG044,52365,53219
MG045,53204,54652
MG046,54657,55604
MG047,55588,56739
MG048,58309,56969
MG049,58362,59078
MG050,59082,59753
MG051,59740,61005
MG052,61014,61406
MG053,61406,63058
MG054,63985,63035
MG055,64360,63989
MG055.1,64513,64367
MG055.2,64910,64527
MG056,65730,64897
MG057,66248,65712
MG058,67225,66227
MG059,67643,67206
MG060,67650,68543
MG061,70225,68522
MG062,70530,72572
MG063,72523,73434
MG064,73690,77685
MG065,77685,79085
MG066,79089,81035
MG067,81046,82596
MG068,82620,84044
MG069,88228,90954
MG070,91065,91919
MG071,91924,94548
MG072,94535,96955
MG073,96933,98903
MG074,98906,99319
MG075,99383,102457
MG076,102870,102454
MG077,103104,104327
MG078,104320,105450
MG079,105452,106660
MG080,106660,109206
MG081,109262,109675
MG082,109675,110355
MG083,110355,110924
MG084,110917,111789
MG085,111790,112725
MG086,112718,113866
MG087,113895,114314
MG088,114331,114798
MG089,114808,116874
MG090,116926,117552
MG091,117553,118035
MG092,118025,118342
MG093,118345,118797
MG094,118781,120187
MG095,120191,121387
MG096,121571,123523
MG097,123580,124317
MG098,124417,125850
MG099,125853,127286
MG100,127279,128712
MG101,128687,129355
MG102,129348,130295
MG103,130285,131127
MG103.1,131149,131382
MG104,131385,133562
MG105,133570,134172
MG106,134728,134147
MG107,134769,135338
MG108,135338,136120
MG109,136105,137268
MG110,137255,138091
MG111,138106,139407
MG112,139397,140026
MG113,140040,141410
MG114,141346,142056
MG115,142081,142554
MG116,142563,143318
MG117,143311,143955
MG118,143936,144958
MG119,144973,146667
MG120,146674,148236
MG121,148239,149159
MG122,149199,151328
MG123,151306,152721
MG124,152768,153076
MG125,153082,153939
MG126,154963,153920
MG127,154999,155436
MG128,155444,156223
MG129,156223,156576
MG130,156566,158020
MG131,158023,158309
MG132,159006,158581
MG133,159778,158984
MG134,159798,160100
MG135,160914,160072
MG136,160963,162435
MG137,162377,163591
MG138,163591,165387
MG139,165471,167180
MG140,175805,179146
MG141,179151,180746
MG141.1,180746,181018
MG142,181005,182864
MG143,182851,183189
MG144,183214,184053
MG145,184053,184862
MG146,184875,186149
MG147,186136,187263
MG148,187302,188531
MG149,188607,189452
MG149.1,189492,189956
MG150,190046,190366
MG151,190370,191143
MG152,191143,191778
MG153,191782,192102
MG154,192102,192959
MG155,192959,193222
MG156,193225,193659
MG157,193662,194468
MG158,194474,194890
MG159,194890,195492
MG160,195492,195749
MG161,195753,196121
MG162,196121,196447
MG163,196453,196995
MG164,196998,197180
MG165,197177,197602
MG166,197609,198163
MG167,198165,198512
MG168,198517,199152
MG169,199158,199610
MG170,199610,201037
MG171,201031,201675
MG172,201678,202424
MG173,202424,202636
MG174,202647,202760
MG175,202760,203134
MG176,203134,203499
MG177,203515,204501
MG178,204514,204885
MG179,204872,205696
MG180,205681,206595
MG181,206588,207850
MG182,207843,208577
MG183,208567,210390
MG184,210391,211344
MG185,211444,213549
MG186,216016,216768
MG187,216761,218518
MG188,218521,219510
MG189,219482,220438
MG190,220607,221563
MG191,221570,225904
MG192,225906,229067
MG194,232009,233034
MG195,233038,235458
MG196,235517,236062
MG197,236065,236244
MG198,236247,236621
MG199,237300,236593
MG200,237347,239152
MG201,239164,239817
MG202,239827,240195
MG203,240323,242224
MG204,242224,244569
MG205,245597,244566
MG206,245633,247426
MG207,247407,247910
MG208,248493,247903
MG209,249403,248477
MG210,249948,249403
MG210.1,250149,250808
MG210.2,250808,250989
MG211,250998,251441
MG211.1,251444,251788
MG212,251781,252587
MG213,252580,253995
MG214,253979,254602
MG215,254621,255592
MG216,255595,257121
MG217,258041,259159
MG218,259177,264594
MG218.1,264597,265637
MG219,265597,266043
MG220,266356,266075
MG221,266666,267091
MG222,267081,268010
MG223,268012,269247
MG224,269250,270359
MG225,270405,271874
MG226,271840,273318
MG227,273790,274653
MG228,274653,275135
MG229,275141,276163
MG230,276167,276628
MG231,276647,278812
MG232,278905,279207
MG233,279200,279499
MG234,279492,279806
MG235,279799,280674
MG236,280664,281086
MG237,281079,281963
MG238,281993,283327
MG239,283396,285783
MG240,286832,285780
MG241,286885,288747
MG242,288753,290645
MG243,290648,291328
MG244,291334,293445
MG245,293448,293945
MG246,293938,294783
MG247,295486,294767
MG248,296129,295473
MG249,297606,296113
MG250,299474,297651
MG251,300804,299464
MG252,301552,300824
MG253,302841,301555
MG254,304825,302846
MG255,305001,306098
MG255.1,306202,306654
MG256,306821,307591
MG257,307637,307930
MG258,307930,309009
MG259,309010,310380
MG260,310511,312808
MG261,315701,318325
MG262,318332,319207
MG262.1,319207,320061
MG263,320177,321052
MG264,321046,321642
MG265,322414,321578
MG266,324811,322433
MG267,325159,324812
MG268,325879,325193
MG269,327052,326030
MG270,328443,327433
MG271,329827,328454
MG272,330985,329831
MG273,332215,331235
MG274,333309,332233
MG275,334773,333337
MG276,335398,334856
MG277,338324,335412
MG278,338367,340529
MG279,341182,340526
MG280,341972,341175
MG281,343703,342033
MG282,344850,344365
MG283,345182,346633
MG284,346854,347252
MG285,347215,348258
MG286,348261,348851
MG287,348883,349137
MG288,353035,351791
MG289,354024,355130
MG290,355120,355857
MG291,355847,357478
MG291.1,357891,357475
MG292,360593,357891
MG293,361385,360651
MG294,362802,361378
MG295,364023,362920
MG296,364415,364026
MG297,365575,364535
MG298,368530,365582
MG299,369695,368733
MG300,370948,369713
MG301,371963,370950
MG302,372947,371994
MG303,373999,372926
MG304,374793,373981
MG305,376706,374919
MG306,377975,376794
MG307,381508,377975
MG308,382725,381493
MG309,386409,382732
MG310,386463,387269
MG311,387893,387276
MG312,391335,387916
MG313,392258,391395
MG314,393634,392303
MG315,394551,393658
MG316,395584,394475
MG317,397424,395625
MG318,398281,397439
MG319,398834,398298
MG320,399798,398938
MG321,402923,400119
MG322,405399,403723
MG323,405456,406139
MG323.1,407784,406975
MG324,408793,407729
MG325,408954,408793
MG326,409858,408971
MG327,410677,409871
MG328,412934,410664
MG329,414319,412973
MG330,414976,414323
MG331,415623,414985
MG332,416330,415611
MG333,416930,416337
MG334,419480,416967
MG335,420045,419470
MG335.1,420274,420053
MG335.2,420333,421358
MG336,421467,422693
MG337,422697,423113
MG338,426912,423100
MG339,428112,427090
MG340,434458,430580
MG341,438640,434468
MG342,439236,438730
MG343,440355,439315
MG344,441180,440359
MG345,443878,441191
MG346,443922,444422
MG347,444413,445045
MG348,446165,445197
MG349,446576,447790
MG350,447790,448725
MG350.1,449617,448943
MG351,449665,450219
MG352,450222,450722
MG353,451048,450719
MG354,451197,451610
MG355,453757,451613
MG356,454753,453911
MG357,455947,454766
MG358,456755,457372
MG359,457347,458270
MG360,459495,458260
MG361,459615,460103
MG362,460126,460494
MG363,460497,460670
MG363.1,460951,460685
MG364,461015,461689
MG365,461682,462617
MG366,462619,464622
MG367,465434,464646
MG368,466410,465424
MG369,468083,466410
MG370,469123,468152
MG371,470084,469110
MG372,471234,470077
MG373,472066,471221
MG374,472891,472067
MG375,474578,472884
MG376,474892,474578
MG377,475479,474898
MG378,477139,475526
MG379,477168,479006
MG380,478999,479577
MG381,479570,480226
MG382,480691,481332
MG383,482075,481329
MG384,483369,482068
MG384.1,483818,483369
MG385,484699,483989
MG386,489552,484702
MG387,490711,489839
MG388,491163,490699
MG389,491530,491147
MG390,493516,491534
MG391,494967,493624
MG392,496615,494984
MG393,496960,496628
MG394,498306,497086
MG395,499890,498316
MG396,500719,500261
MG397,502420,500720
MG398,502823,502422
MG399,504258,502828
MG400,505099,504260
MG401,506655,505099
MG402,507201,506671
MG403,507820,507194
MG404,508131,507823
MG405,509012,508134
MG406,509454,508978
MG407,510836,509460
MG408,510903,511376
MG409,512050,511373
MG410,513042,512053
MG411,514991,513027
MG412,516124,514991
MG414,519355,516245
MG415,521414,519420
MG417,521868,521470
MG418,522314,521874
MG419,524145,522352
MG421,527015,524151
MG422,529494,526987
MG423,531217,529532
MG424,531480,531220
MG425,531669,533018
MG426,533041,533235
MG427,533271,533696
MG428,533807,534322
MG429,536037,534319
MG430,537564,536041
MG431,538291,537557
MG432,539547,538351
MG433,539633,540529
MG434,540510,541241
MG435,541241,541792
MG437,541793,542986
MG438,543006,544157
MG439,545380,544562
MG440,546156,545380
MG441,546709,546302
MG442,547692,546880
