tax	Score	N	reference
79885	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/005/825/GCA_000005825.2_ASM582v2
562	1	907	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/005/845/GCA_000005845.2_ASM584v2
2188	0.9	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/175/GCA_000006175.2_ASM617v2
38289	1	5	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/605/GCA_000006605.1_ASM660v1
134821	1	9	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/625/GCA_000006625.1_ASM662v1
632	1	37	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/645/GCA_000006645.1_ASM664v1
83560	1	20	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/685/GCA_000006685.1_ASM668v1
2371	0.97	18	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/725/GCA_000006725.1_ASM672v1
666	0.97	49	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/745/GCA_000006745.1_ASM674v1
140100	0.97	49	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/745/GCA_000006745.1_ASM674v1
287	0.97	216	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/765/GCA_000006765.1_ASM676v1
1314	1	204	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/785/GCA_000006785.2_ASM678v2
2242	0.92	3	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/805/GCA_000006805.1_ASM680v1
747	0.97	63	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/825/GCA_000006825.1_ASM682v1
485	0.97	42	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/845/GCA_000006845.1_ASM684v1
1358	0.97	49	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/865/GCA_000006865.1_ASM686v1
1313	1	76	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/211/095/GCA_000211095.1_ASM21109v1
155892	0.97	9	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/905/GCA_000006905.1_ASM690v1
623	1	34	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/925/GCA_000006925.2_ASM692v2
28901	1	842	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/945/GCA_000006945.2_ASM694v2
382	0.97	23	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/965/GCA_000006965.1_ASM696v1
1097	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/985/GCA_000006985.1_ASM698v1
2287	0.93	16	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/968/355/GCA_000968355.2_ASM96835v2
781	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/025/GCA_000007025.1_ASM702v1
2209	0.9	7	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/065/GCA_000007065.1_ASM706v1
911092	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/085/GCA_000007085.1_ASM708v1
