locus,start,end
b2038,2109581,2110138
b2112,2192515,2192796
b1098,1155124,1155765
b0127,142779,143705
b3962,4159390,4160790
b1109,1166085,1167389
b0209,231122,231922
b3831,4016431,4017192
b3752,3937294,3938223
b0385,403703,404818
b1613,1688576,1689751
b2848,2989304,2989786
b3779,3962745,3964229
b4287,4510690,4511457
b2040,2111077,2111976
b0972,1032139,1033257
b1843,1925440,1926096
b2393,2513042,2514244
b0063,68348,70048
b0502,529645,530016
b2051,2125743,2126222
b1431,1502457,1503125
b1238,1293527,1294144
b0820,855963,857555
b0480,504914,506566
b1474,1547401,1550448
b0647,678852,679406
b2780,2908029,2909666
b2538,2669032,2670393
b3337,3466797,3466991
b2049,2123084,2124520
b0567,587091,587981
b0840,881976,882734
b3567,3732201,3733742
b2041,2111976,2113061
b0684,710935,711465
b3937,4127286,4127894
b0751,783166,783885
b1389,1454868,1455155
b3507,3654683,3655213
b2039,2110138,2111019
b3817,4002419,4002799
b2784,2911417,2913651
b2677,2804815,2806017
b0747,781147,781222
b0724,757689,758405
b4199,4424516,4424791
b4006,4205943,4207532
b0186,209679,211820
b3244,3390583,3392028
b3979,4175754,4175829
b2583,2719223,2719921
b4383,4619603,4620826
b1247,1305764,1306768
b0673,697057,697133
b3894,4082772,4085822
b1810,1894133,1894432
b2662,2792735,2794015
b3582,3749232,3750092
b3021,3167851,3168246
b3797,3982509,3982585
b1332,1397365,1397622
b2661,2791273,2792721
b2547,2676850,2678361
b0206,228928,229004
b3028,3172530,3173111
b0602,635349,636569
b2664,2795674,2796336
b3880,4070515,4071756
b3495,3640111,3640545
b3853,4037260,4037335
b0803,838190,838456
b2883,3025766,3027085
b3195,3339256,3340065
b2403,2521173,2521248
b2994,3141286,3142989
b1847,1930034,1930390
b2463,2576098,2578377
b2803,2937468,2938886
b1438,1509508,1509924
b2695,2818553,2818645
b2824,2962749,2963156
b1932,2010600,2011079
b4087,4309448,4310980
b0743,780554,780629
b0973,1033254,1035047
b3407,3537385,3539706
b4395,4633797,4634444
b3371,3501268,3502290
b0610,643557,643967
b1911,1992042,1992117
b2420,2537749,2538483
b0755,786843,787595
b4035,4246784,4247899
b1986,2059851,2059926
b1475,1550461,1551345
b1760,1841863,1842135
b3656,3832219,3834537
b1800,1881912,1882997
b0146,160782,161486
b1665,1746435,1746511
b1195,1244728,1244982
b3925,4114569,4115579
b1513,1601490,1603025
b3658,3836222,3836316
b2759,2882155,2882637
b0329,346484,346759
b2696,2818961,2819146
b1315,1376832,1377887
b3346,3475718,3476440
b0672,696963,697047
b3488,3630968,3632590
b2930,3075217,3076182
b3541,3702865,3703848
b3978,4175673,4175747
b3510,3656408,3656740
b0130,145081,146310
b0766,797613,798431
b3091,3241827,3243314
b3746,3929597,3931093
b2693,2818198,2818274
b1259,1315856,1316035
b1479,1553972,1555669
b0855,894991,896124
b1910,1991914,1991987
b2756,2879788,2880387
b3157,3300752,3301276
b1702,1784734,1787112
b4085,4307783,4308478
b3072,3217556,3219076
b1230,1287244,1287328
b2273,2387710,2388426
b2926,3071459,3072622
b2306,2423736,2424509
b3545,3708616,3708692
b2783,2911091,2911339
b1722,1805325,1806083
b4025,4233758,4235407
b3681,3861349,3861987
b2398,2518467,2518811
b3798,3982606,3982692
b1044,1105414,1105725
b3403,3532818,3534440
b1441,1512817,1513830
b3757,3943435,3943510
b2761,2884553,2887219
b4715,4563668,4563925
b3236,3383330,3384268
b3126,3272787,3273557
b1731,1813421,1813663
b2694,2818473,2818549
b1233,1288674,1289132
b3447,3585081,3586823
b1917,1997062,1997814
b3761,3946957,3947032
b2760,2882630,2884138
b1931,2009821,2010489
b2927,3072672,3073691
b1400,1464471,1465061
b0846,887423,887959
b2814,2947387,2947463
b3085,3235960,3236463
b1779,1862771,1863766
b0588,619384,620199
b3069,3215598,3215673
b2757,2880374,2881048
b2225,2327367,2328143
b4232,4454611,4455609
b2096,2176350,2177204
b3528,3682161,3683447
b0668,696756,696830
b1586,1657565,1657870
b2779,2906643,2907941
b0829,867520,869391
b2396,2518041,2518116
b4224,4448447,4448698
b0906,956762,957454
b2929,3074686,3075195
b3526,3679419,3680348
b0748,781369,781444
b1426,1498651,1498875
b1291,1352636,1353628
b4365,4603477,4604202
b3976,4175388,4175463
b4539,2089211,2089465
b2120,2205695,2207974
b3755,3940635,3941327
b2705,2827737,2828516
b0666,696664,696740
b1928,2007677,2008090
b0490,515919,516596
b3183,3330582,3331754
b3852,4037141,4037217
b2017,2089462,2089713
b2851,2991268,2991759
b2847,2988502,2989311
b1723,1806370,1807299
b0216,236931,237007
b1875,1959280,1959846
b3479,3617015,3617779
b1921,2000473,2001024
b3276,3426958,3427033
b2758,2881051,2882142
b1523,1611966,1612325
b1991,2063388,2064467
b4309,4536614,4537594
b2815,2947497,2947573
b0682,709790,710116
b4106,4324377,4325165
b1709,1792809,1793558
b0883,925884,925971
b2922,3067340,3068080
b0119,134388,134750
b1993,2065219,2065764
b1397,1460893,1462098
b2404,2521253,2521328
b3944,4137040,4137657
b3271,3422436,3423194
b1270,1327767,1328357
b4164,4392472,4392547
b0607,641439,641867
b1067,1126157,1126804
b0638,669296,669907
b4477,3872995,3873612
b1989,2062260,2062335
b4215,4437707,4438645
b2129,2216481,2217407
b1992,2064479,2065222
b3288,3434214,3435161
b2754,2878569,2878853
b2618,2754008,2754298
b1711,1794172,1795152
b3904,4095979,4097448
b1666,1746516,1746592
b1825,1908261,1908548
b2149,2237769,2239289
b4577,77367,77593
b0971,1031625,1031712
b4050,4262840,4263082
b1383,1445880,1446206
b4422,1269858,1269923
b0476,499014,499973
b4270,4496405,4496489
b0644,675570,676547
b1756,1838747,1839400
b4424,1270393,1270460
b2864,2998984,2999057
b0429,447717,448046
b0802,837665,837925
b4413,16952,17006
b3600,3774424,3775572
b2692,2818059,2818135
b3858,4042069,4042338
b3540,3701864,3702868
b4429,1492119,1492174
b0744,780765,780840
b1468,1538850,1542590
b2732,2856453,2856806
b4420,1269323,1269389
b0351,372921,373871
b2189,2286211,2286287
