locus,start,end,genomic.element,scaffold
SO0001,334,774,NC_004347.2,139
SO0002,954,2504,NC_004347.2,139
SO0003,2589,3962,NC_004347.2,139
SO0004,4058,5683,NC_004347.2,139
SO0005,5687,5941,NC_004347.2,139
SO0006,5908,6264,NC_004347.2,139
SO0007,6281,6418,NC_004347.2,139
SO0008,6873,8255,NC_004347.2,139
SO0009,8276,9376,NC_004347.2,139
SO0010,9539,10621,NC_004347.2,139
SO0011,10638,13055,NC_004347.2,139
SO0012,13129,13791,NC_004347.2,139
SO0013,14311,15111,NC_004347.2,139
SO0014,15180,17246,NC_004347.2,139
SO0015,17256,18161,NC_004347.2,139
SO0016,18279,18854,NC_004347.2,139
SO0017,18941,22090,NC_004347.2,139
SO0018,22330,22767,NC_004347.2,139
SO0019,22815,23060,NC_004347.2,139
SO0020,23307,24470,NC_004347.2,139
SO0021,24493,26643,NC_004347.2,139
SO0022,27069,28388,NC_004347.2,139
SO0023,28404,29018,NC_004347.2,139
SO0024,29096,30556,NC_004347.2,139
SO0025,30558,31082,NC_004347.2,139
SO0026,31147,31455,NC_004347.2,139
SO0027,31656,32210,NC_004347.2,139
SO0028,32252,33694,NC_004347.2,139
SO0029,33706,35115,NC_004347.2,139
SO0030,35131,36417,NC_004347.2,139
SO0031,36420,37376,NC_004347.2,139
SO0032,37392,37898,NC_004347.2,139
SO0033,38024,39160,NC_004347.2,139
SO0034,39244,40260,NC_004347.2,139
SO0035,40263,40739,NC_004347.2,139
SO0036,40852,41418,NC_004347.2,139
SO0037,41557,42123,NC_004347.2,139
SO0038,42152,43060,NC_004347.2,139
SO0039,43090,43527,NC_004347.2,139
SO0040,43717,44580,NC_004347.2,139
SO0041,44606,44881,NC_004347.2,139
SO0042,44973,45521,NC_004347.2,139
SO0043,45835,45951,NC_004347.2,139
SO0044,51728,51979,NC_004347.2,139
SO0045,52004,52459,NC_004347.2,139
SO0046,52434,53189,NC_004347.2,139
SO0047,53199,54407,NC_004347.2,139
SO0048,54456,55490,NC_004347.2,139
SO0049,55600,57144,NC_004347.2,139
SO0050,57409,57843,NC_004347.2,139
SO0051,57826,57918,NC_004347.2,139
SO0052,58105,58578,NC_004347.2,139
SO0053,58583,59599,NC_004347.2,139
SO0054,59949,61139,NC_004347.2,139
SO0055,61362,63041,NC_004347.2,139
SO0056,63429,64187,NC_004347.2,139
SO0057,64299,65660,NC_004347.2,139
SO0058,65662,66360,NC_004347.2,139
SO0059,66406,67095,NC_004347.2,139
SO0060,67096,68142,NC_004347.2,139
SO0061,68407,68871,NC_004347.2,139
SO0062,69205,69591,NC_004347.2,139
SO0063,69588,70895,NC_004347.2,139
SO0065,71134,71667,NC_004347.2,139
SO0066,72364,78060,NC_004347.2,139
SO0067,78057,80339,NC_004347.2,139
SO0068,80364,80609,NC_004347.2,139
SO0069,80667,81806,NC_004347.2,139
SO0070,81904,82638,NC_004347.2,139
SO0071,82641,84260,NC_004347.2,139
SO0072,84353,84724,NC_004347.2,139
SO0073,84765,85628,NC_004347.2,139
SO0074,85625,86932,NC_004347.2,139
SO0075,87148,88854,NC_004347.2,139
SO0076,88995,91481,NC_004347.2,139
SO0077,91601,92017,NC_004347.2,139
SO0078,92009,92812,NC_004347.2,139
SO0079,92857,93123,NC_004347.2,139
SO0080,93185,93613,NC_004347.2,139
SO0081,93827,94156,NC_004347.2,139
SO0082,94160,94516,NC_004347.2,139
SO0083,94704,95090,NC_004347.2,139
SO0084,95148,95828,NC_004347.2,139
SO0085,96204,96626,NC_004347.2,139
SO0086,96994,97095,NC_004347.2,139
SO0087,97161,97721,NC_004347.2,139
SO0088,97916,98515,NC_004347.2,139
SO0089,98370,98540,NC_004347.2,139
SO0090,98787,99329,NC_004347.2,139
SO0091,99494,100090,NC_004347.2,139
SO0092,100249,100959,NC_004347.2,139
SO0093,100974,102194,NC_004347.2,139
SO0094,102352,102489,NC_004347.2,139
SO0095,102534,103760,NC_004347.2,139
SO0096,103967,104674,NC_004347.2,139
SO0097,104801,106471,NC_004347.2,139
SO0098,106536,108077,NC_004347.2,139
SO0101,108703,111717,NC_004347.2,139
SO0102,111720,112634,NC_004347.2,139
SO0103,112631,113272,NC_004347.2,139
SO0104,113272,114180,NC_004347.2,139
SO0105,114238,115659,NC_004347.2,139
SO0106,115656,117677,NC_004347.2,139
SO0107,117785,118621,NC_004347.2,139
SO0108,118747,119961,NC_004347.2,139
SO0109,119961,120194,NC_004347.2,139
SO0110,120287,121630,NC_004347.2,139
SO0111,121746,122360,NC_004347.2,139
SO0112,122642,123265,NC_004347.2,139
SO0113,123266,124222,NC_004347.2,139
SO0114,124394,125005,NC_004347.2,139
SO0115,125325,126302,NC_004347.2,139
SO0116,126481,127458,NC_004347.2,139
SO0118,128107,128979,NC_004347.2,139
SO0119,129240,129632,NC_004347.2,139
SO0120,129650,130228,NC_004347.2,139
SO0121,130527,131705,NC_004347.2,139
SO0122,131702,132325,NC_004347.2,139
SO0123,132352,132912,NC_004347.2,139
SO0125,133124,133489,NC_004347.2,139
SO0126,133511,134311,NC_004347.2,139
SO0127,134374,135888,NC_004347.2,139
SO0128,135995,136195,NC_004347.2,139
SO0129,136310,136903,NC_004347.2,139
SO0130,137207,140014,NC_004347.2,139
SO0131,140071,140640,NC_004347.2,139
SO0132,140742,141152,NC_004347.2,139
SO0135,142352,142642,NC_004347.2,139
SO0136,142669,143331,NC_004347.2,139
SO0137,143381,144142,NC_004347.2,139
SO0138,144154,145407,NC_004347.2,139
SO0139,145712,146248,NC_004347.2,139
SO0140,146434,146529,NC_004347.2,139
SO0141,146606,149839,NC_004347.2,139
SO0142,150203,150856,NC_004347.2,139
SO0144,151552,153654,NC_004347.2,139
SO0145,153677,154045,NC_004347.2,139
SO0146,154156,155370,NC_004347.2,139
SO0147,155715,156200,NC_004347.2,139
SO0148,156320,157000,NC_004347.2,139
SO0150,158400,159176,NC_004347.2,139
SO0151,159448,160215,NC_004347.2,139
SO0152,160241,162124,NC_004347.2,139
SO0154,162366,163490,NC_004347.2,139
SO0157,164022,165260,NC_004347.2,139
SO0159,165737,166093,NC_004347.2,139
SO0160,166258,167817,NC_004347.2,139
SO0162,168071,169612,NC_004347.2,139
SO0163,169814,170674,NC_004347.2,139
SO0164,170700,171098,NC_004347.2,139
SO0165,171350,172276,NC_004347.2,139
SO0166,172301,174415,NC_004347.2,139
SO0167,174412,175977,NC_004347.2,139
SO0168,175981,177204,NC_004347.2,139
SO0169,177279,177713,NC_004347.2,139
SO0170,177715,178287,NC_004347.2,139
SO0171,178274,178642,NC_004347.2,139
SO0172,178623,179390,NC_004347.2,139
SO0173,179387,180385,NC_004347.2,139
SO0174,180434,181621,NC_004347.2,139
SO0175,181623,182099,NC_004347.2,139
SO0176,182114,182875,NC_004347.2,139
SO0177,182935,183597,NC_004347.2,139
SO0179,183749,184327,NC_004347.2,139
SO0180,184305,186314,NC_004347.2,139
SO0181,186395,187441,NC_004347.2,139
SO0182,187553,187840,NC_004347.2,139
SO0183,187837,188319,NC_004347.2,139
SO0184,188405,188956,NC_004347.2,139
SO0185,188996,189526,NC_004347.2,139
SO0186,189555,190100,NC_004347.2,139
SO0187,190156,191379,NC_004347.2,139
SO0188,191382,192473,NC_004347.2,139
SO0189,192488,200056,NC_004347.2,139
SO0190,200294,200845,NC_004347.2,139
SO0191,200915,201727,NC_004347.2,139
SO0192,201735,202178,NC_004347.2,139
SO0193,202414,203025,NC_004347.2,139
SO0194,203016,204878,NC_004347.2,139
SO0195,204956,206086,NC_004347.2,139
SO0196,206086,207144,NC_004347.2,139
SO0197,207241,208347,NC_004347.2,139
SO0198,208491,209105,NC_004347.2,139
SO0198.1,209388,209519,NC_004347.2,139
SO0202,210808,211326,NC_004347.2,139
SO0203,211373,212089,NC_004347.2,139
SO0204,212225,212884,NC_004347.2,139
SO0205,213168,213560,NC_004347.2,139
SO0206,213570,214670,NC_004347.2,139
SO0207,214726,215634,NC_004347.2,139
SO0208,215641,216105,NC_004347.2,139
SO0208.1,222590,222898,NC_004347.2,139
SO0211,222921,223361,NC_004347.2,139
SO0213,223639,224664,NC_004347.2,139
SO0214,224657,225616,NC_004347.2,139
SO0215,225619,226569,NC_004347.2,139
SO0216,226682,226813,NC_004347.2,139
SO0217,227280,228464,NC_004347.2,139
SO0218,228741,229112,NC_004347.2,139
SO0219,229122,229673,NC_004347.2,139
SO0220,229801,230229,NC_004347.2,139
SO0221,230234,230935,NC_004347.2,139
SO0222,231201,231701,NC_004347.2,139
SO0223,231756,232124,NC_004347.2,139
SO0224,232367,236404,NC_004347.2,139
SO0225,236488,240705,NC_004347.2,139
SO0226,240885,241259,NC_004347.2,139
SO0227,241340,241810,NC_004347.2,139
SO0228,241889,243985,NC_004347.2,139
SO0229,244057,245241,NC_004347.2,139
SO0230,245573,245884,NC_004347.2,139
SO0231,245912,246550,NC_004347.2,139
SO0232,246568,247173,NC_004347.2,139
SO0233,247170,247475,NC_004347.2,139
SO0234,247492,248316,NC_004347.2,139
SO0235,248331,248609,NC_004347.2,139
SO0236,248625,248957,NC_004347.2,139
SO0237,248967,249659,NC_004347.2,139
SO0238,249671,250081,NC_004347.2,139
SO0239,250081,250272,NC_004347.2,139
SO0240,250272,250520,NC_004347.2,139
SO0241,250698,251066,NC_004347.2,139
SO0242,251078,251392,NC_004347.2,139
SO0243,251405,251944,NC_004347.2,139
SO0244,251955,252260,NC_004347.2,139
SO0245,252285,252677,NC_004347.2,139
SO0246,252688,253221,NC_004347.2,139
SO0247,253232,253582,NC_004347.2,139
SO0248,253595,254098,NC_004347.2,139
SO0249,254105,254287,NC_004347.2,139
SO0250,254291,254725,NC_004347.2,139
SO0251,254733,256073,NC_004347.2,139
SO0252,256095,256208,NC_004347.2,139
SO0253,256323,256679,NC_004347.2,139
SO0254,256694,257086,NC_004347.2,139
SO0255,257118,257738,NC_004347.2,139
SO0256,257763,258752,NC_004347.2,139
SO0257,258793,259188,NC_004347.2,139
SO0258,259537,259692,NC_004347.2,139
SO0258.1,259947,260153,NC_004347.2,139
SO0259,260541,261026,NC_004347.2,139
SO0260,261023,261223,NC_004347.2,139
SO0261,261223,261969,NC_004347.2,139
SO0262,261971,262657,NC_004347.2,139
SO0263,262669,263319,NC_004347.2,139
SO0264,263645,263944,NC_004347.2,139
SO0265,264025,265272,NC_004347.2,139
SO0266,265671,267650,NC_004347.2,139
SO0267,267662,268216,NC_004347.2,139
SO0268,268213,268692,NC_004347.2,139
SO0269,268689,269273,NC_004347.2,139
SO0272,275264,276538,NC_004347.2,139
SO0273,276635,277180,NC_004347.2,139
SO0274,277180,279825,NC_004347.2,139
SO0275,280524,281504,NC_004347.2,139
SO0276,281536,282318,NC_004347.2,139
SO0277,282331,283236,NC_004347.2,139
SO0278,283296,284519,NC_004347.2,139
SO0279,284611,285978,NC_004347.2,139
SO0280,286053,288572,NC_004347.2,139
SO0281,288762,289841,NC_004347.2,139
SO0282,289829,290413,NC_004347.2,139
SO0283,290410,291030,NC_004347.2,139
SO0284,291030,291545,NC_004347.2,139
SO0285,291567,293621,NC_004347.2,139
SO0286,293841,294356,NC_004347.2,139
SO0287,294362,295441,NC_004347.2,139
SO0288,295460,296872,NC_004347.2,139
SO0289,296921,297760,NC_004347.2,139
SO0290,297793,297981,NC_004347.2,139
SO0291,297978,298343,NC_004347.2,139
SO0292,298606,299283,NC_004347.2,139
SO0293,299283,299966,NC_004347.2,139
SO0294,300003,301001,NC_004347.2,139
SO0295,301109,301993,NC_004347.2,139
SO0296,302102,303025,NC_004347.2,139
SO0297,303044,303610,NC_004347.2,139
SO0298,303607,304200,NC_004347.2,139
SO0299,304307,304633,NC_004347.2,139
SO0300,304630,306489,NC_004347.2,139
SO0301,306578,307423,NC_004347.2,139
SO0301.1,307638,307859,NC_004347.2,139
SO0302,307975,308481,NC_004347.2,139
SO0304,309390,310352,NC_004347.2,139
SO0305,310746,310859,NC_004347.2,139
SO0306,311176,312687,NC_004347.2,139
SO0308,312988,314208,NC_004347.2,139
SO0309,314364,314762,NC_004347.2,139
SO0311,314976,317336,NC_004347.2,139
SO0312,317544,318698,NC_004347.2,139
SO0313,318823,320142,NC_004347.2,139
SO0314,320226,322388,NC_004347.2,139
SO0316,323353,323832,NC_004347.2,139
SO0317,323850,324608,NC_004347.2,139
SO0318,324640,324990,NC_004347.2,139
SO0319,325226,326563,NC_004347.2,139
SO0320,326595,327602,NC_004347.2,139
SO0321,327699,328301,NC_004347.2,139
SO0322,328401,328982,NC_004347.2,139
SO0323,329121,330053,NC_004347.2,139
SO0324,330108,330509,NC_004347.2,139
SO0325,330614,330973,NC_004347.2,139
SO0326,331225,332148,NC_004347.2,139
SO0329,332478,332699,NC_004347.2,139
SO0330,332721,334175,NC_004347.2,139
SO0331,334175,334480,NC_004347.2,139
SO0332,334521,335558,NC_004347.2,139
SO0333,335685,336293,NC_004347.2,139
SO0334,336742,336954,NC_004347.2,139
SO0335,336951,337172,NC_004347.2,139
SO0336,337352,338875,NC_004347.2,139
SO0337,338932,339288,NC_004347.2,139
SO0338,339476,339811,NC_004347.2,139
SO0339,339829,340101,NC_004347.2,139
SO0340,340328,341419,NC_004347.2,139
SO0341,341460,346007,NC_004347.2,139
SO0342,346264,347457,NC_004347.2,139
SO0343,347544,350147,NC_004347.2,139
SO0344,350228,351355,NC_004347.2,139
SO0345,351590,352468,NC_004347.2,139
SO0346,352532,353248,NC_004347.2,139
SO0347,353751,354659,NC_004347.2,139
SO0348,354700,355602,NC_004347.2,139
SO0349,355703,357229,NC_004347.2,139
SO0350,357446,358561,NC_004347.2,139
SO0351,358578,359174,NC_004347.2,139
SO0352,359174,360253,NC_004347.2,139
SO0353,360341,361039,NC_004347.2,139
SO0354,361225,362175,NC_004347.2,139
SO0355,362346,364010,NC_004347.2,139
SO0356,364485,365687,NC_004347.2,139
SO0357,365794,367647,NC_004347.2,139
SO0358,367847,368230,NC_004347.2,139
SO0359,368255,370360,NC_004347.2,139
SO0360,370404,370682,NC_004347.2,139
SO0361,370741,371364,NC_004347.2,139
SO0362,371943,373493,NC_004347.2,139
SO0363,373652,374533,NC_004347.2,139
SO0364,374541,375581,NC_004347.2,139
SO0365,375687,377111,NC_004347.2,139
SO0366,377127,377945,NC_004347.2,139
SO0367,378250,379365,NC_004347.2,139
SO0368,379805,382753,NC_004347.2,139
SO0369,382765,383652,NC_004347.2,139
SO0370,383887,384378,NC_004347.2,139
SO0371,384401,384862,NC_004347.2,139
SO0372,385042,385746,NC_004347.2,139
SO0374,387097,387906,NC_004347.2,139
SO0375,387966,388256,NC_004347.2,139
SO0377,389169,389462,NC_004347.2,139
SO0378,389568,390770,NC_004347.2,139
SO0379,390810,391523,NC_004347.2,139
SO0380,391526,394627,NC_004347.2,139
SO0381,394897,395895,NC_004347.2,139
SO0382,395983,397302,NC_004347.2,139
SO0383,397292,399049,NC_004347.2,139
SO0384,399550,400200,NC_004347.2,139
SO0386,400540,400788,NC_004347.2,139
SO0387,400896,401720,NC_004347.2,139
SO0388,402011,403300,NC_004347.2,139
SO0389,403284,403895,NC_004347.2,139
SO0390,403879,404178,NC_004347.2,139
SO0390.1,404834,405319,NC_004347.2,139
SO0391,405328,405930,NC_004347.2,139
SO0392,406055,406657,NC_004347.2,139
SO0393,406898,407203,NC_004347.2,139
SO0394,407220,408188,NC_004347.2,139
SO0395,408364,409245,NC_004347.2,139
SO0396,409686,410411,NC_004347.2,139
SO0397,410644,411315,NC_004347.2,139
SO0398,411381,413387,NC_004347.2,139
