locus,start,end
PA0001,483,2024
PA0002,2056,3156
PA0003,3169,4275
PA0004,4275,6692
PA0005,7021,7791
PA0006,7806,8339
PA0007,8671,10374
PA0008,10437,12488
PA0009,12491,13435
PA0010,13540,14088
PA0011,14235,15119
PA0012,15207,15470
PA0013,15620,16270
PA0014,16338,16607
PA0015,16903,17217
PA0016,17369,18739
PA0017,18770,20071
PA0018,20071,21012
PA0019,21070,21573
PA0020,21712,22734
PA0021,22872,23957
PA0022,24001,24555
PA0023,24571,25545
PA0024,25736,26650
PA0025,26711,27532
PA0026,27646,28629
PA0027,28613,29896
PA0028,29896,30495
PA0029,30505,32055
PA0030,32063,32983
PA0031,33003,34511
PA0032,34624,35535
PA0033,35908,36270
PA0034,36281,36901
PA0035,37090,37893
PA0036,37893,39098
PA0037,39202,40086
PA0038,40190,40402
PA0039,40589,40813
PA0040,41113,42798
PA0041,42914,53518
PA0042,56546,56938
PA0043,57215,58594
PA0044,58786,60156
PA0045,60656,61339
PA0046,61373,61723
PA0047,61879,62385
PA0048,62406,62786
PA0049,63071,64729
PA0050,65339,65476
PA0051,66303,68132
PA0052,68191,68616
PA0053,69272,69523
PA0054,69546,70091
PA0055,70133,70636
PA0056,70705,71622
PA0057,71730,72614
PA0058,72680,73381
PA0059,73468,73920
PA0060,74034,74264
PA0061,74282,74716
PA0062,74776,75189
PA0063,75281,76405
PA0064,76419,77399
PA0065,77435,78097
PA0066,78093,78632
PA0067,78710,80752
PA0068,80752,81024
PA0069,81116,82171
PA0070,82407,83318
PA0071,83383,85092
PA0072,85088,86284
PA0073,86287,87003
PA0074,87003,90098
PA0075,90109,90834
PA0076,90847,91524
PA0077,91524,94826
PA0078,95051,96397
PA0079,96407,97738
PA0080,97757,98218
PA0081,98266,99756
PA0082,100124,101155
PA0083,101247,101762
PA0084,101778,103271
PA0085,103350,103835
PA0086,104006,104848
PA0087,104853,105359
PA0088,105359,107215
PA0089,107182,108225
PA0090,108221,110926
PA0091,110976,112904
PA0092,113025,113306
PA0093,113306,114595
PA0094,114614,115045
PA0095,115299,117521
PA0096,117552,117998
PA0097,117931,119127
PA0098,119127,120161
PA0099,120164,121321
PA0100,121346,122263
PA0101,122248,123492
PA0102,123871,124596
PA0103,124810,126378
PA0104,126518,127111
PA0105,127378,128499
PA0106,128512,130101
PA0107,130115,130666
PA0108,130680,131564
PA0109,131586,131792
PA0110,131808,132599
PA0111,132577,133152
PA0112,133220,134290
PA0113,134319,135230
PA0114,135259,135891
PA0115,135937,136386
PA0116,136518,136988
PA0117,137248,137973
PA0118,138001,138585
PA0119,138818,140164
PA0120,140216,140899
PA0121,141003,141734
PA0122,141917,142324
PA0123,142362,143267
PA0124,143570,143848
PA0125,143848,144072
PA0126,144251,144868
PA0127,144969,145466
PA0128,145542,145880
PA0129,145968,147392
PA0130,147564,149054
PA0131,149141,149425
PA0132,149428,150771
PA0133,150906,151820
PA0134,151939,153306
PA0135,153696,153833
PA0136,154417,155985
PA0137,155988,157082
