locusId	sysName	type	scaffoldId	begin	end	strand	name	desc	GC	nTA	used
199198	SO0001	1	139	334	774	-	mioC	mioC protein (NCBI ptt file)	0.4558	24	TRUE
199199	SO0002	1	139	954	2504	+		proton/peptide symporter family protein (NCBI ptt file)	0.4449	79	TRUE
199200	SO0003	1	139	2589	3962	-	trmE	tRNA modification GTPase TrmE (NCBI ptt file)	0.4891	53	TRUE
199201	SO0004	1	139	4058	5683	-		inner membrane protein, 60 kDa (NCBI ptt file)	0.4557	80	FALSE
199202	SO0005	1	139	5687	5941	-		conserved hypothetical protein TIGR00278 (NCBI ptt file)	0.4784	8	FALSE
199203	SO0006	1	139	5908	6264	-	rnpA	ribonuclease P protein component (NCBI ptt file)	0.4482	14	FALSE
199204	SO0007	1	139	6281	6418	-	rpmH	ribosomal protein L34 (NCBI ptt file)	0.5435	4	FALSE
199205	SO0008	1	139	6873	8255	+	dnaA	chromosomal replication initiator protein DnaA (NCBI ptt file)	0.4461	77	FALSE
199206	SO0009	1	139	8276	9376	+	dnaN	DNA polymerase III, beta subunit (NCBI ptt file)	0.446	56	FALSE
199207	SO0010	1	139	9539	10621	+	recF	DNA replication and repair protein RecF (NCBI ptt file)	0.4589	52	TRUE
199208	SO0011	1	139	10638	13055	+	gyrB	DNA gyrase, B subunit (NCBI ptt file)	0.4653	111	FALSE
199209	SO0012	1	139	13129	13791	-		glutathione S-transferase family protein (NCBI ptt file)	0.463	31	TRUE
199210	SO0013	1	139	14311	15111	+		hypothetical protein (NCBI ptt file)	0.4607	33	TRUE
199211	SO0014	1	139	15180	17246	-	glyS	glycyl-tRNA synthetase, beta subunit (NCBI ptt file)	0.4804	108	FALSE
199212	SO0015	1	139	17256	18161	-	glyQ	glycyl-tRNA synthetase, alpha subunit (NCBI ptt file)	0.4989	38	FALSE
199213	SO0016	1	139	18279	18854	+	tag	DNA-3-methyladenine glycosidase I (NCBI ptt file)	0.4392	26	TRUE
199214	SO0017	1	139	18941	22090	-		hypothetical amidohydrolase (NCBI ptt file)	0.4654	143	TRUE
199215	SO0018	1	139	22330	22767	-		conserved hypothetical protein (NCBI ptt file)	0.4817	15	TRUE
199216	SO0019	1	139	22815	23060	-		conserved hypothetical protein (NCBI ptt file)	0.4634	9	FALSE
199217	SO0020	1	139	23307	24470	-	fadA	fatty oxidation complex, beta subunit (NCBI ptt file)	0.4966	43	TRUE
199218	SO0021	1	139	24493	26643	-	fadB	fatty oxidation complex, alpha subunit (NCBI ptt file)	0.4914	76	TRUE
199219	SO0022	1	139	27069	28388	+	pepQ	prolidase (NCBI ptt file)	0.4682	59	TRUE
199220	SO0023	1	139	28404	29018	+		conserved hypothetical protein TIGR00257 (NCBI ptt file)	0.465	35	TRUE
199221	SO0024	1	139	29096	30556	+	trkH-1	potassium uptake protein TrkH (NCBI ptt file)	0.4606	68	TRUE
199222	SO0025	1	139	30558	31082	+		hypothetical flavodoxin (NCBI ptt file)	0.421	30	TRUE
199223	SO0026	1	139	31147	31455	-		transcriptional regulator, ArsR family (NCBI ptt file)	0.4142	20	TRUE
199224	SO0027	1	139	31656	32210	+		protoporphyrinogen oxidase, putative (NCBI ptt file)	0.4396	29	TRUE
199225	SO0028	1	139	32252	33694	-	trkH-2	potassium uptake protein TrkH (NCBI ptt file)	0.4747	68	TRUE
199226	SO0029	1	139	33706	35115	-	trkA	potassium uptake protein TrkA (NCBI ptt file)	0.495	61	TRUE
199227	SO0030	1	139	35131	36417	-	sun	sun protein (NCBI ptt file)	0.4996	47	TRUE
199228	SO0031	1	139	36420	37376	-	fmt	methionyl-tRNA formyltransferase (NCBI ptt file)	0.511	41	FALSE
199229	SO0032	1	139	37392	37898	-	def-1	polypeptide deformylase (NCBI ptt file)	0.428	21	TRUE
199230	SO0033	1	139	38024	39160	+		LysM domain protein (NCBI ptt file)	0.4494	54	TRUE
199231	SO0034	1	139	39244	40260	+		DNA processing protein DprA, putative (NCBI ptt file)	0.4818	38	TRUE
199232	SO0035	1	139	40263	40739	+	smg	smg protein (NCBI ptt file)	0.4235	16	TRUE
199233	SO0036	1	139	40852	41418	+		topoisomerase DNA-binding C4 zinc finger domain protein (NCBI ptt file)	0.4568	28	TRUE
199234	SO0037	1	139	41557	42123	+		Sua5/YciO/YrdC/YwlC family protein (NCBI ptt file)	0.485	22	FALSE
199235	SO0038	1	139	42152	43060	+	hemF	coproporphyrinogen III oxidase, aerobic (NCBI ptt file)	0.5083	30	TRUE
199236	SO0039	1	139	43090	43527	-		hypothetical globin (NCBI ptt file)	0.4566	16	TRUE
199237	SO0040	1	139	43717	44580	+	aroE	shikimate 5-dehydrogenase (NCBI ptt file)	0.4722	48	TRUE
199238	SO0041	1	139	44606	44881	+		conserved hypothetical protein (NCBI ptt file)	0.4275	11	TRUE
199239	SO0042	1	139	44973	45521	-		carbonic anhydrase, family 3 (NCBI ptt file)	0.4645	28	TRUE
199240	SO0043	1	139	45835	45951	+		hypothetical protein (NCBI ptt file)	0.4359	4	FALSE
2200916	SO_r001	3	139	46116	47644	+	Sp16SC	16S ribosomal RNA (RefSeq)	0.5474	62	FALSE
407354	SO_r002	2	139	47961	50853	+	Sp23SC	23S ribosomal RNA (RefSeq)	0.515	140	FALSE
2200917	SO_r003	4	139	51057	51176	+	Sp5SC	5S ribosomal RNA (RefSeq)	0.5583	3	FALSE
401094	SO_t001	5	139	51211	51287	+	tRNA-Asp-1	tRNA-Asp (RefSeq)	0.6623	2	FALSE
199241	SO0044	1	139	51728	51979	+		conserved hypothetical protein (NCBI ptt file)	0.4762	5	TRUE
199242	SO0045	1	139	52004	52459	+		Rrf2 family protein (NCBI ptt file)	0.4254	27	TRUE
199243	SO0046	1	139	52434	53189	-		conserved hypothetical protein (NCBI ptt file)	0.4868	31	TRUE
199244	SO0047	1	139	53199	54407	-		carboxyl-terminal protease, putative (NCBI ptt file)	0.4624	53	TRUE
199245	SO0048	1	139	54456	55490	-		peptidase, M23/M37 family (NCBI ptt file)	0.4715	41	TRUE
199246	SO0049	1	139	55600	57144	-	gpmA	phosphoglycerate mutase, 2,3-bisphosphoglycerate-independent (NCBI ptt file)	0.51	67	FALSE
199247	SO0050	1	139	57409	57843	+		rhodanese domain protein (NCBI ptt file)	0.4046	22	TRUE
199248	SO0051	1	139	57826	57918	-		hypothetical protein (NCBI ptt file)	0.4516	4	TRUE
199249	SO0052	1	139	58105	58578	+	secB	protein-export protein SecB (NCBI ptt file)	0.4684	22	FALSE
199250	SO0053	1	139	58583	59599	+	gpsA	glycerol-3-phosphate dehydrogenase (NAD(P)+) (NCBI ptt file)	0.5113	47	FALSE
199251	SO0054	1	139	59949	61139	+		conserved hypothetical protein TIGR00275 (NCBI ptt file)	0.508	58	TRUE
199252	SO0055	1	139	61362	63041	-		conserved domain protein (NCBI ptt file)	0.4226	79	TRUE
199253	SO0056	1	139	63429	64187	+		transporter, putative (NCBI ptt file)	0.498	22	TRUE
199254	SO0057	1	139	64299	65660	-		potassium uptake protein, Trk family (NCBI ptt file)	0.4949	66	TRUE
199255	SO0058	1	139	65662	66360	-		potassium uptake protein, putative (NCBI ptt file)	0.4821	37	TRUE
199256	SO0059	1	139	66406	67095	-	kdpE	transcriptional regulatory protein KdpE (NCBI ptt file)	0.4986	24	TRUE
199257	SO0060	1	139	67096	68142	-		sensor histidine kinase (NCBI ptt file)	0.4957	46	TRUE
199258	SO0061	1	139	68407	68871	+		lipoprotein, NLP/P60 family (NCBI ptt file)	0.4645	19	TRUE
199259	SO0062	1	139	69205	69591	+		hypothetical protein (NCBI ptt file)	0.4057	26	TRUE
199260	SO0063	1	139	69588	70895	+		conserved hypothetical protein (NCBI ptt file)	0.458	61	TRUE
199262	SO0065	1	139	71134	71667	+	mog	molybdenum cofactor biosynthesis protein Mog (NCBI ptt file)	0.5	20	TRUE
199263	SO0066	1	139	72364	78060	+		conserved hypothetical protein (NCBI ptt file)	0.4832	267	TRUE
199264	SO0067	1	139	78057	80339	+		penicillin-binding protein 1C, putative (NCBI ptt file)	0.505	96	TRUE
199265	SO0068	1	139	80364	80609	-		hypothetical protein (NCBI ptt file)	0.3902	15	FALSE
199266	SO0069	1	139	80667	81806	-		transport protein, putative (NCBI ptt file)	0.4991	50	TRUE
199267	SO0070	1	139	81904	82638	-	natA	ATP-binding transport protein NatA (NCBI ptt file)	0.5415	25	TRUE
199268	SO0071	1	139	82641	84260	-		hydrolase, alpha/beta hydrolase fold family (NCBI ptt file)	0.5191	57	TRUE
199269	SO0072	1	139	84353	84724	+		transcriptional regulator, GntR family (NCBI ptt file)	0.543	11	TRUE
199270	SO0073	1	139	84765	85628	+		ABC transporter, ATP-binding protein (NCBI ptt file)	0.5081	29	TRUE
199271	SO0074	1	139	85625	86932	+		hypothetical protein (NCBI ptt file)	0.4962	51	TRUE
199272	SO0075	1	139	87148	88854	+		AMP-binding family protein (NCBI ptt file)	0.4968	65	TRUE
199273	SO0076	1	139	88995	91481	+		hypothetical protein (NCBI ptt file)	0.4692	130	TRUE
199274	SO0077	1	139	91601	92017	+		hypothetical 4-hydroxybenzoyl-CoA thioesterase (NCBI ptt file)	0.458	22	TRUE
199275	SO0078	1	139	92009	92812	-		hypothetical protein (NCBI ptt file)	0.4515	44	TRUE
199276	SO0079	1	139	92857	93123	-		conserved hypothetical protein (NCBI ptt file)	0.4345	10	TRUE
199277	SO0080	1	139	93185	93613	-		hypothetical 4-hydroxybenzoyl-CoA thioesterase (NCBI ptt file)	0.4615	23	TRUE
199278	SO0081	1	139	93827	94156	+		conserved hypothetical protein (NCBI ptt file)	0.4818	15	TRUE
199279	SO0082	1	139	94160	94516	+		transcriptional regulator, MerR family (NCBI ptt file)	0.4734	13	TRUE
199280	SO0083	1	139	94704	95090	+		carboxymuconolactone decarboxylase family protein (NCBI ptt file)	0.4677	20	TRUE
199281	SO0084	1	139	95148	95828	-		HAD-superfamily hydrolase, subfamily IA, variant 1 family protein (NCBI ptt file)	0.4684	29	TRUE
199282	SO0085	1	139	96204	96626	+		hypothetical protein (NCBI ptt file)	0.4681	17	TRUE
199283	SO0086	1	139	96994	97095	+		hypothetical protein (NCBI ptt file)	0.4118	6	TRUE
199284	SO0087	1	139	97161	97721	+		hypothetical protein (NCBI ptt file)	0.4866	33	TRUE
199285	SO0088	1	139	97916	98515	-		hypothetical protein (NCBI ptt file)	0.425	31	TRUE
199286	SO0089	1	139	98370	98540	+		hypothetical protein (NCBI ptt file)	0.4737	9	FALSE
199287	SO0090	1	139	98787	99329	+		hypothetical protein (NCBI ptt file)	0.4383	25	TRUE
199288	SO0091	1	139	99494	100090	-		hypothetical protein (NCBI ptt file)	0.3216	48	TRUE
199289	SO0092	1	139	100249	100959	-	deoD-1	purine nucleoside phosphorylase (NCBI ptt file)	0.391	50	TRUE
199290	SO0093	1	139	100974	102194	-		NupC family protein (NCBI ptt file)	0.3948	88	TRUE
