biggID,seedID,gpr_iML1515,gpr_carveme,test.cm,gpr_modelseed,test.ms,gpr_gapseq,test.gs
GLYCTO2,rxn08655,(b2979 and b4468 and b4467),(b2979 or (b2979 and b4468) or (b2979 and b4467 and b4468)),FALSE,(b4468 and b2979 and b4467),TRUE,(b2979 and b4468 and b4467),TRUE
IPPMIb,rxn02789,(b0071 and b0072),(b0072 or (b0071 and b0072)),FALSE,(b0071 or b0072 or (b0071 and b0072)),FALSE,(b0072 and b0071),TRUE
TRPS2,rxn00474,(b1260 and b1261),(b1261 or (b1260 and b1261)),FALSE,((b1260 and b1261) or b0369),FALSE,(b1260 and b1261),TRUE
G3PD5,rxn08556,((b2243 and b2242 and b2241) or b3426),(b3426 or (b2241 and b2242 and b2243)),TRUE,(b3426 or (b2242 and b2241)),FALSE,(b2242 and (b2241 or b3426)),FALSE
PFL,rxn00157,((b0902 and b0903) or (b0902 and b3114) or (b3951 and b3952) or ((b0902 and b0903) and b2579)),(b0824 or b0902 or b4379 or b3114 or (b0823 and b0824) or (b0902 and b0903) or (b0902 and b2579) or (b0902 and b3114) or (b3951 and b3952) or (b0902 and b0903 and b2579) or (b0902 and b2579 and b3114)),FALSE,((b0903 or b3951 or b0823 or b3114) or (b0824 or b0902 or b3952)),FALSE,b0823 or b3951 or b3114 or b0903,FALSE
ANS,rxn00727,(b1263 and b1264),(b0800 or b1263 or (b1263 and b1264)),FALSE,((b1264 and b1263) or b0331),FALSE,((b1264 or b1812) and (b1263 or b3360)),FALSE
FRD2,rxn08527,(b4152 and b4151 and b4153 and b4154),((b4151 and b4152 and b4153) or (b4151 and b4152 and b4154) or (b4151 and b4153 and b4154) or (b4151 and b4152 and b4153 and b4154)),FALSE,(b0723 or (b0721 and b0722 and b4154 and Unknown and b4152 and b4151) or (b0724 and b0723)),FALSE,((b4154 or b0723 or b2574) and b4153 and b4152),FALSE
FRD3,rxn08528,(b4152 and b4151 and b4153 and b4154),((b4151 and b4152 and b4153) or (b4151 and b4152 and b4154) or (b4151 and b4153 and b4154) or (b4151 and b4152 and b4153 and b4154)),FALSE,(b0723 or (b0721 and b0722 and b4151 and Unknown and b4154 and b4152) or (b0723 and b0724)),FALSE,((b4154 or b0723 or b2574) and b4153 and b4152),FALSE
RNDR1,rxn05231,((b2582 and (b2234 and b2235)) or (b3781 and (b2234 and b2235))),(b0492 or b2674 or (b2234 and b2235) or (b0492 and b2234 and b2235) or (b2234 and b2235 and b2582) or (b2234 and b2235 and b3781)),FALSE,(b2235 or (b2675 and b2676 and b2674) or b2234),FALSE,((b2675 or b2234) and (b2235 or b2676)),FALSE
RNDR3,rxn06076,((b3781 and (b2234 and b2235)) or (b2582 and (b2234 and b2235))),(b0492 or b2674 or (b2234 and b2235) or (b2675 and b2676) or (b0492 and b2234 and b2235) or (b2234 and b2235 and b2582) or (b2234 and b2235 and b3781)),FALSE,(b2235 or (b2675 and b2676 and b2674) or b2234),FALSE,((b2675 or b2234) and (b2235 or b2676)),FALSE
RNDR4,rxn06075,((b3781 and (b2234 and b2235)) or ((b2234 and b2235) and b2582)),(b0492 or b2674 or (b2234 and b2235) or (b0492 and b2234 and b2235) or (b2234 and b2235 and b2582) or (b2234 and b2235 and b3781)),FALSE,(b2235 or (b2675 and b2676 and b2674) or b2234),FALSE,((b2675 or b2234) and (b2235 or b2676)),FALSE
IPPMIa,rxn02811,(b0071 and b0072),(b0072 or (b0071 and b0072)),FALSE,(b0071 or b0072 or (b0071 and b0072)),FALSE,(b0072 and b0071),TRUE
G3PD7,rxn08558,(b2243 and b2242 and b2241),(b2241 and b2242 and b2243),TRUE,(b3426 or (b2242 and b2241)),FALSE,(b2242 and (b2241 or b3426)),FALSE
ADCS,rxn01257,(b1812 and b3360),(b3360 or (b1812 and b3360)),FALSE,(b3360 or b1263 or b1812),FALSE,((b1812 or b3360 or b1264) and b1263 and (b1828 or b1805 or b1661)),FALSE
DHAPT,rxn00745,(b1200 and b1198 and b2416 and b2415 and b1199),((b2415 and b2416 and b3206) or (b1198 and b1199 and b1200 and b2415 and b2416)),FALSE,(b1198 or b1198 or b1198 or b1199 or b1198 or b1200),FALSE,(b1200 and b1199 and b1198),FALSE
TRPS3,rxn01682,(b1260 and b1261),(b1261 or (b1260 and b1261)),FALSE,((b1260 and b1261) or b0369),FALSE,(b1260 and b1261),TRUE
ASPCT,rxn01018,((b4244 and b4245) or b4245),(b4245 or (b4244 and b4245)),TRUE,(b4245 or b4244),FALSE,b4245,TRUE
MCOATA,rxn05465,(b1094 and b1092),(b1092 or (b1092 and b1094)),FALSE,(b1092 or b1028),FALSE,((b2323 or b1805 or b1092 or b1093 or b3455 or b2342 or b3003 or b1701 or b1385 or b2661 or b0037 or b1095 or b2371)),FALSE
TRDR,rxn05289,((b0888 and b3781) or (b2582 and b0888)),(b0492 or b0606 or b0888 or (b0888 and b2582) or (b0888 and b3781)),FALSE,b0888,FALSE,b0888,FALSE
AKGDH,rxn08094,(b0727 and b0116 and b0726),(b0116 or b0304 or (b0116 and b0726 and b0727)),FALSE,(b0726 or b0727 or b0871),FALSE,b0726 or b0116 or b0727 or b3962 or b0304,FALSE
UAGAAT,rxn06729,(b1094 and b0181),(b0181 or (b0181 and b1094)),FALSE,b0181,FALSE,b0181,FALSE
PAPSR,rxn05239,((b2582 and b2762) or (b3781 and b2762)),(b0492 or b2762 or (b0492 and b2762) or (b2582 and b2762) or (b2762 and b3781)),FALSE,(Unknown and b2762),FALSE,b2762,FALSE
TRPS1,rxn01964,(b1260 and b1261),(b1261 or (b1260 and b1261)),FALSE,((b1260 and b1261) or b0369),FALSE,(b1260 and b1261),TRUE
SULR,rxn00623,(b2764 and b2763),(b3742 or (b2763 and b2764)),FALSE,(b2763 and b2764),TRUE,(b2764 and b2763),TRUE
ETHAAL,rxn00539,(b2441 and b2440),(b2441 or b2453 or (b2440 and b2441)),FALSE,(b2441 or b2440 or b1131),FALSE,((b2441 or b2440)),FALSE
CBPS,rxn00414,(b0032 and b0033),(b0032 or b0033 or (b0032 and b0033)),FALSE,(b0033 and b0032),TRUE,(b0033 and b0032),TRUE
ACOATA,rxn05349,(b1094 and b1091),(b1091 or (b1091 and b1094)),FALSE,(b1095 and b1091),FALSE,(b0586 and (b2323 or b1805 or b1092 or b1093 or b3455 or b2342 or b3003 or b1701 or b1385 or b2661 or b0037 or b1095 or b2371)) or b1091,FALSE
SUCptspp,rxn05655,(b2417 and b2415 and b2416 and b2429),((b2415 and b2416 and b2417) or (b2415 and b2416 and b2417 and b2429)),FALSE,(Unknown and Unknown and Unknown and (b2416 or b2383 or b3947)),FALSE,b4240,FALSE
SULabcpp,rxn05153,((b2423 and b2424 and b2422 and b2425) or (b0764 and b0765 and b0763) or (b2422 and b2423 and b2424 and b3917)),(b0262 or b0764 or (b0763 and b0764 and b0765) or (b2422 and b2424 and b2425) or (b2422 and b2424 and b3917) or (b2422 and b2424 and b2423) or (b2422 and b2424 and b2425 and b2423) or (b2422 and b2424 and b3917 and b2423)),FALSE,(b2413 or (b2422 and b2424 and b2423 and b2425)),FALSE,b2422 or b3917 or b0365 or b2423 or b2424 or b1756,FALSE
TSULabcpp,rxn05176,((b2423 and b2422 and b2424 and b3917) or (b2422 and b2425 and b2424 and b2423)),(b0262 or (b2422 and b2424 and b2425) or (b2422 and b2424 and b3917) or (b2422 and b2424 and b2423) or (b2422 and b2424 and b2425 and b2423) or (b2422 and b2424 and b3917 and b2423)),FALSE,(b2425 or b2422),FALSE,b2425 or b1756,FALSE
THMabcpp,rxn05177,(b0066 and b0068 and b0067),(b1756 or (b0066 and b0067 and b0068)),FALSE,(b0068 and b0067 and b0066),TRUE,b0067 or b0068 or b0066,FALSE
TREptspp,rxn02005,(b2417 and b4240 and b2416 and b2415),(b3683 or (b2415 and b2417) or (b2415 and b2416 and b2417) or (b2415 and b2416 and b2417 and b4240)),FALSE,(b4240 and Unknown and (b2416 or b2383 or b3947) and b4240),FALSE,b4240,FALSE
ACGAptspp,rxn05485,((b2416 and b2417 and b2415 and b1101) or (b2415 and b2416 and b0679)),(b2415 or (b0679 and b2415 and b2416) or (b1101 and b2415 and b2417) or (b1101 and b2415 and b2416 and b2417)),FALSE,(Unknown and (b3947 or b2383 or b2416) and b0679 and b0679),FALSE,b0679 or b1022 or b3947,FALSE
ARGabcpp,rxn05154,((b2308 and b2306 and b2310 and b2307) or (b0864 and b0860 and b0863 and b0862 and b0861)),(b4096 or (b2306 and b2307) or (b2306 and b2307 and b2308) or (b2306 and b2307 and b2310) or (b3270 and b3271 and b3269) or (b0860 and b0861 and b0862 and b0864) or (b0861 and b0862 and b0863 and b0864) or (b2306 and b2307 and b2308 and b2310) or (b0860 and b0861 and b0862 and b0863 and b0864)),FALSE,(b0862 or b0864 or b0861),FALSE,b0863 or b0864 or b0860 or b0862 or b0861 or b2306 or b2310,FALSE
ASPabcpp,rxn05152,(b0654 and b0652 and b0655 and b0653),((b0653 and b0654 and b0655) or (b3270 and b3271 and b3269) or (b0652 and b0653 and b0654 and b0655)),FALSE,(Unknown and Unknown and Unknown and b3268),FALSE,b0654 or b0652 or b0653 or b3271 or b3268 or b3269 or b3270,FALSE
FRUptspp,rxn05560,(b2415 and b2167 and b2169 and b2416),((b2415 and b2416) or (b2415 and b3899) or (b2167 and b2415 and b2416) or (b2167 and b2169 and b2415 and b2416)),FALSE,((b2416 or b2383 or b3947) and (b2167 or b3899) and Unknown and (b2169 or b3900) and (b2167 or b3899)),FALSE,b3899 or b2386 or b3949 or b3900 or b0731 or b1819 or b3953 or b2167,FALSE
ZNabcpp,rxn05150,(b1859 and b1858 and b1857),(b0820 or b3352 or b4391 or (b1858 and b1859) or (b1857 and b1858 and b1859)),FALSE,(b1858 and Unknown and Unknown),FALSE,b3469,FALSE
